# Coverage factor O*
# Source: Moore, M., Putz, A., and Secanell, M. (2013).
#         Investigation of the ORR using the double-trap intrinsic kinetic model.
#         Journal of the Electrochemical Society, 160(6), F670,
#         http://dx.doi.org/10.1149/2.123306jes.
# Data
Overpotential [V],O*
0.109923,0.0164815
0.120532,0.0176392
0.141005,0.0182384
0.161249,0.0245038
0.171291,0.0303143
0.181011,0.0365082
0.19514,0.0452557
0.206489,0.0538836
0.224009,0.070988
0.239247,0.09405
0.249825,0.107589
0.261768,0.133539
0.27627,0.165131
0.288212,0.192209
0.298066,0.212101
0.306127,0.232827
0.314384,0.250284
0.321823,0.267352
0.332572,0.292814
0.338543,0.311806
0.347647,0.333292
0.365847,0.337442
0.385931,0.335782
0.399738,0.334122
0.408524,0.31254
0.417311,0.295938
0.421076,0.284317
0.427352,0.271036
0.431118,0.257755
0.437394,0.241153
0.447435,0.217911
0.454967,0.20297
0.462498,0.183048
0.471284,0.168107
0.478816,0.144865
0.487602,0.128263
0.498899,0.108341
0.510196,0.0900798
0.521492,0.0759685
0.531534,0.0635173
0.546596,0.048576
