# Coverages H* for Atop sites
# Source: Wang, J. X., Springer, T. E., Liu, P., Shao, M., and Adzic, R. R. (2007).
#         Hydrogen oxidation reaction on Pt in acidic media: Adsorption isotherm and activation free energies.
#         The Journal of Physical Chemistry C, 111(33), 12425-12433, https://doi.org/10.1021/jp073400i.
# Data
Overpotential [V],H*
3.70714e-4,5.00000e-2
9.63855e-3,3.94882e-2
1.96478e-2,3.79668e-2
2.96571e-2,2.80775e-2
3.96664e-2,2.17151e-2
4.96756e-2,2.05394e-2
6.96942e-2,1.40387e-2
8.97127e-2,1.00277e-2
1.29379e-1,6.70816e-3
1.69416e-1,3.87275e-3
2.49861e-1,1.17566e-3
