# Coverages H* for H/B sites
# Source: Wang, J. X., Springer, T. E., Liu, P., Shao, M., and Adzic, R. R. (2007).
#         Hydrogen oxidation reaction on Pt in acidic media: Adsorption isotherm and activation free energies.
#         The Journal of Physical Chemistry C, 111(33), 12425-12433, https://doi.org/10.1021/jp073400i.
# Data
Overpotential [V],CO*
7.92752e-03,6.55677e-01
2.49151e-02,6.68118e-01
4.07701e-02,6.65630e-01
5.77576e-02,6.65630e-01
7.19139e-02,6.54432e-01
8.89015e-02,6.38258e-01
1.04190e-01,6.19596e-01
1.20045e-01,6.02177e-01
1.37033e-01,5.74806e-01
1.52888e-01,5.46190e-01
1.68743e-01,5.13841e-01
1.84032e-01,4.80249e-01
2.00453e-01,4.41680e-01
2.16874e-01,4.01866e-01
2.32729e-01,3.54588e-01
2.48018e-01,3.07309e-01
2.63873e-01,2.62519e-01
2.80861e-01,2.17729e-01
2.96149e-01,1.72939e-01
3.12005e-01,1.36858e-01
3.28992e-01,1.03266e-01
3.44281e-01,7.83826e-02
3.60136e-01,5.84759e-02
3.75991e-01,4.23017e-02
3.92412e-01,3.60809e-02
4.08267e-01,2.36392e-02
4.25821e-01,1.74184e-02
4.41676e-01,1.21742e-02
4.56399e-01,8.70918e-03
4.73952e-01,4.97667e-03
4.89807e-01,3.24417e-03
