# Current density for Atop sites
# Source: Wang, J. X., Springer, T. E., Liu, P., Shao, M., and Adzic, R. R. (2007).
#         Hydrogen oxidation reaction on Pt in acidic media: Adsorption isotherm and activation free energies.
#         The Journal of Physical Chemistry C, 111(33), 12425-12433, https://doi.org/10.1021/jp073400i.
# Data
Overpotential [V],Current Density [A/cm²]
1.06724e-03,2.97346e-02
2.13447e-03,4.57539e-02
2.98826e-03,7.21587e-02
5.33618e-03,1.24812e-01
8.75133e-03,1.87382e-01
1.45144e-02,2.79592e-01
2.00640e-02,3.44694e-01
2.92423e-02,4.14617e-01
4.20491e-02,4.71842e-01
5.78442e-02,4.92622e-01
7.23586e-02,5.17492e-01
8.62327e-02,5.27139e-01
9.90395e-02,5.36966e-01
1.10566e-01,5.60613e-01
1.22732e-01,5.78139e-01
1.35752e-01,6.14851e-01
1.47919e-01,6.45893e-01
1.64781e-01,7.21587e-01
1.89755e-01,8.78720e-01
2.06190e-01,1.03126e+00
2.27748e-01,1.32738e+00
2.48026e-01,1.75112e+00
2.61046e-01,2.13244e+00
2.72572e-01,2.53363e+00
2.83671e-01,2.97346e+00
2.98613e-01,4.04531e+00
3.16969e-01,5.33670e+00
3.33618e-01,7.30527e+00
