# Current density for H/B sites
# Source: Wang, J. X., Springer, T. E., Liu, P., Shao, M., and Adzic, R. R. (2007).
#         Hydrogen oxidation reaction on Pt in acidic media: Adsorption isotherm and activation free energies.
#         The Journal of Physical Chemistry C, 111(33), 12425-12433, https://doi.org/10.1021/jp073400i.
# Data
Current Density [A/cm²],Overpotential [V]
9.94083e-03,1.12183e-03
1.23077e-02,1.71343e-03
1.84615e-02,2.51158e-03
2.60355e-02,3.73200e-03
3.50296e-02,5.17895e-03
4.59172e-02,7.28531e-03
5.72781e-02,9.44146e-03
6.95858e-02,1.24037e-02
8.14201e-02,1.67471e-02
9.46746e-02,2.20007e-02
1.07929e-01,2.66272e-02
1.20237e-01,3.40383e-02
1.33491e-01,4.35108e-02
1.47219e-01,5.41188e-02
1.60947e-01,6.73132e-02
1.74201e-01,8.37258e-02
1.88402e-01,1.01329e-01
2.01657e-01,1.24325e-01
2.15858e-01,1.50464e-01
2.30059e-01,1.79628e-01
2.44734e-01,2.08660e-01
2.60355e-01,2.39086e-01
2.74556e-01,2.66576e-01
2.89704e-01,3.01307e-01
3.05325e-01,3.26878e-01
3.20947e-01,3.54619e-01
3.36095e-01,3.79499e-01
3.52189e-01,4.00600e-01
3.67811e-01,4.22881e-01
3.83432e-01,4.34366e-01
3.99527e-01,4.46156e-01
4.14675e-01,4.58280e-01
